date,result,lead_dist
2026-03-30,SB,10.3
2026-04-01,PK,
2026-04-03,SB,10.4
2026-04-04,CS,10.8
2026-04-12,SB,9.6
2026-04-14,SB,10.0
2026-04-25,SB,11.9
2026-04-26,SB,13.3
2026-05-01,SB,11.2
2026-05-27,SB,12.2
2026-05-28,SB,21.9
2026-05-30,SB,17.3
2026-05-30,SB,12.9
2026-05-31,CS,11.6
2026-06-04,SB,18.9
2026-06-05,CS,10.8
2026-06-06,SB,26.6
2026-06-09,CS,11.6
2026-08-16,SB,19.9
2026-08-21,CS,1.1
